t 1 2 jV0100 
0 5 4.90163 -170.492
1e-07 5 4.54393 -0.456066
2e-07 5 4.54393 -0.456066
3e-07 5 4.54393 -0.456066
4e-07 5 4.54393 -0.456066
5e-07 5 4.54393 -0.456066
6e-07 5 4.54393 -0.456066
7e-07 5 4.54393 -0.456066
8e-07 5 4.54393 -0.456066
9e-07 5 4.54393 -0.456066
1e-06 5 4.54393 -0.456066
1.1e-06 5 4.54393 -0.456066
1.2e-06 5 4.54393 -0.456066
1.3e-06 5 4.54393 -0.456066
1.4e-06 5 4.54393 -0.456066
1.5e-06 5 4.54393 -0.456066
1.6e-06 5 4.54393 -0.456066
1.7e-06 5 4.54393 -0.456066
1.8e-06 5 4.54393 -0.456066
1.9e-06 5 4.54393 -0.456066
2e-06 5 4.54393 -0.456066
2.1e-06 5 4.54393 -0.456066
2.2e-06 5 4.54393 -0.456066
2.3e-06 5 4.54393 -0.456066
2.4e-06 5 4.54393 -0.456066
2.5e-06 5 4.54393 -0.456066
2.6e-06 5 4.54393 -0.456066
2.7e-06 5 4.54393 -0.456066
2.8e-06 5 4.54393 -0.456066
2.9e-06 5 4.54393 -0.456066
3e-06 5 4.54393 -0.456066
3.1e-06 5 4.54393 -0.456066
3.2e-06 5 4.54393 -0.456066
3.3e-06 5 4.54393 -0.456066
3.4e-06 5 4.54393 -0.456066
3.5e-06 5 4.54393 -0.456066
3.6e-06 5 4.54393 -0.456066
3.7e-06 5 4.54393 -0.456066
3.8e-06 5 4.54393 -0.456066
3.9e-06 5 4.54393 -0.456066
4e-06 5 4.54393 -0.456066
4.1e-06 5 4.54393 -0.456066
4.2e-06 5 4.54393 -0.456066
4.3e-06 5 4.54393 -0.456066
4.4e-06 5 4.54393 -0.456066
4.5e-06 5 4.54393 -0.456066
4.6e-06 5 4.54393 -0.456066
4.7e-06 5 4.54393 -0.456066
4.8e-06 5 4.54393 -0.456066
4.9e-06 5 4.54393 -0.456066
5e-06 5 4.54393 -0.456066
5.1e-06 5 4.54393 -0.456066
5.2e-06 5 4.54393 -0.456066
5.3e-06 5 4.54393 -0.456066
5.4e-06 5 4.54393 -0.456066
5.5e-06 5 4.54393 -0.456066
5.6e-06 5 4.54393 -0.456066
5.7e-06 5 4.54393 -0.456066
5.8e-06 5 4.54393 -0.456066
5.9e-06 5 4.54393 -0.456066
6e-06 5 4.54393 -0.456066
6.1e-06 5 4.54393 -0.456066
6.2e-06 5 4.54393 -0.456066
6.3e-06 5 4.54393 -0.456066
6.4e-06 5 4.54393 -0.456066
6.5e-06 5 4.54393 -0.456066
6.6e-06 5 4.54393 -0.456066
6.7e-06 5 4.54393 -0.456066
6.8e-06 5 4.54393 -0.456066
6.9e-06 5 4.54393 -0.456066
7e-06 5 4.54393 -0.456066
7.1e-06 5 4.54393 -0.456066
