f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f jL0200m jL0200f jL0110m jL0110f jL0800m jL0800f jV0300m jV0300f jV1000m jV1000f jV0700m jV0700f jV1100m jV1100f jV0900m jV0900f 
10 10 -0.01152 0.0628306 89.64 10 -0 0.295181 88.3085 0.00185498 177.948 9.99996 -0.1692 10 -0 0.0628423 89.6396 10 -0 10 -0 10 -0 0.00099998 -0.359995 0.001 179.988 0.00100017 -0.360376 0.00099998 179.64 0.001 179.988 2.95308e-05 -90.1692 2.95181e-05 -91.6915 0.00099998 179.64
20 10 -0.02304 0.125654 89.28 10 -0 0.589592 86.6199 0.00741392 175.897 9.99983 -0.338396 10 -0 0.125747 89.277 10 -0 10 -0 10 -0 0.000999921 -0.719962 0.001 179.977 0.00100066 -0.722999 0.000999921 179.28 0.001 179.977 5.90609e-05 -90.3384 5.89592e-05 -93.3801 0.00099992 179.28
30 10 -0.03456 0.188462 88.9201 10 -0 0.882473 84.9372 0.0166588 173.847 9.99961 -0.507587 10 -0 0.188774 88.9099 10 -0 10 -0 10 -0 0.000999822 -1.07987 0.001 179.965 0.00100148 -1.09009 0.000999822 178.92 0.001 179.965 8.85894e-05 -90.5076 8.82473e-05 -95.0628 0.000999819 178.918
40 10 -0.04608 0.251248 88.5603 10 -0 1.17308 83.2632 0.0295597 171.799 9.9993 -0.676769 10 -0 0.251983 88.5362 10 -0 10 -0 10 -0 0.000999684 -1.4397 0.001 179.954 0.00100261 -1.46378 0.000999684 178.56 0.001 179.954 0.000118116 -90.6768 0.000117308 -96.7368 0.000999674 178.556
50 9.99999 -0.0576 0.314004 88.2006 10 -0 1.46071 81.6007 0.0460749 169.755 9.99891 -0.845939 10 -0 0.315428 88.1538 10 -0 10 -0 10 -0 0.000999507 -1.79941 0.000999999 179.942 0.00100404 -1.84615 0.000999507 178.201 0.000999999 179.942 0.000147639 -90.8459 0.000146071 -98.3993 0.000999481 178.192
60 9.99999 -0.06912 0.376724 87.841 10 -0 1.74468 79.9523 0.0661512 167.713 9.99843 -1.01509 10 -0 0.379159 87.7609 10 -0 10 -0 10 -0 0.00099929 -2.15898 0.000999999 179.931 0.00100575 -2.23912 0.00099929 177.841 0.000999999 179.931 0.000177158 -91.0151 0.000174468 -100.048 0.000999237 177.827
70 9.99999 -0.0806399 0.439398 87.4816 10 -0 2.02437 78.3205 0.0897239 165.676 9.99786 -1.18423 10 -0 0.443219 87.3555 10 -0 10 -0 10 -0 0.000999034 -2.51838 0.000999999 179.919 0.00100772 -2.64447 0.000999034 177.482 0.000999999 179.919 0.000206673 -91.1842 0.000202437 -101.679 0.000998937 177.46
80 9.99999 -0.0921599 0.502021 87.1224 10 -0 2.29919 76.7077 0.116717 163.644 9.99721 -1.35335 10 -0 0.507646 86.9362 10 -0 10 -0 10 -0 0.000998739 -2.87758 0.000999999 179.908 0.00100993 -3.06381 0.000998739 177.122 0.000999999 179.908 0.000236182 -91.3533 0.000229919 -103.292 0.000998574 177.09
90 9.99998 -0.10368 0.564585 86.7634 10 -0 2.56861 75.1161 0.147045 161.618 9.99647 -1.52244 10 -0 0.572469 86.5014 10 -0 10 -0 10 -0 0.000998405 -3.23655 0.000999998 179.896 0.00101235 -3.49859 0.000998405 176.763 0.000999998 179.896 0.000265685 -91.5224 0.000256861 -104.884 0.000998143 176.718
100 9.99998 -0.1152 0.627082 86.4047 10 -0 2.83218 73.5476 0.180611 159.598 9.99564 -1.69151 10 -0 0.637709 86.05 10 -0 10 -0 10 -0 0.000998032 -3.59527 0.000999998 179.885 0.00101495 -3.95002 0.000998032 176.405 0.000999998 179.885 0.000295181 -91.6915 0.000283218 -106.452 0.000997638 176.344
110 9.99998 -0.12672 0.689506 86.0463 10 -0 3.08949 72.0041 0.217309 157.585 9.99473 -1.86055 10 -0 0.70338 85.5809 10 -0 10 -0 10 -0 0.00099762 -3.95371 0.000999998 179.873 0.00101769 -4.41912 0.00099762 176.046 0.000999998 179.873 0.000324669 -91.8605 0.000308949 -107.996 0.00099705 175.967
120 9.99997 -0.13824 0.751848 85.6882 10 -0 3.34019 70.4871 0.257023 155.58 9.99373 -2.02955 10 -0 0.769485 85.0933 10 -0 10 -0 10 -0 0.00099717 -4.31184 0.000999997 179.862 0.00102056 -4.90671 0.00099717 175.688 0.000999997 179.862 0.000354149 -92.0296 0.000334019 -109.513 0.000996372 175.587
130 9.99997 -0.14976 0.814103 85.3304 10 -0 3.58399 68.9981 0.299629 153.585 9.99264 -2.19852 10 -0 0.836019 84.5866 10 -0 10 -0 10 -0 0.000996681 -4.66963 0.000999997 179.85 0.00102351 -5.41337 0.000996681 175.33 0.000999997 179.85 0.00038362 -92.1985 0.000358399 -111.002 0.000995598 175.205
140 9.99996 -0.16128 0.876262 84.9729 10 -0 3.82068 67.5382 0.344996 151.599 9.99146 -2.36745 10 -0 0.902969 84.0605 10 -0 10 -0 10 -0 0.000996153 -5.02706 0.000999996 179.839 0.00102651 -5.93949 0.000996153 174.973 0.000999996 179.839 0.000413081 -92.3675 0.000382068 -112.462 0.000994719 174.82
150 9.99995 -0.172799 0.93832 84.6159 10 -0 4.05008 66.1084 0.392984 149.623 9.9902 -2.53634 10 -0 0.970311 83.5148 10 -0 10 -0 10 -0 0.000995588 -5.3841 0.000999995 179.827 0.00102953 -6.48524 0.000995588 174.616 0.000999995 179.827 0.000442531 -92.5363 0.000405008 -113.892 0.000993728 174.432
160 9.99995 -0.184319 1.00027 84.2593 10 -0 4.27208 64.7095 0.443449 147.659 9.98886 -2.70519 10 -0 1.03802 82.9494 10 -0 10 -0 10 -0 0.000994985 -5.74071 0.000999995 179.816 0.00103253 -7.05061 0.000994985 174.259 0.000999995 179.816 0.000471969 -92.7052 0.000427208 -115.291 0.000992619 174.043
170 9.99994 -0.195839 1.0621 83.9031 10 -0 4.48662 63.3421 0.496239 145.707 9.98742 -2.87399 10 -0 1.10604 82.3646 10 -0 10 -0 10 -0 0.000994344 -6.09688 0.000999994 179.804 0.00103548 -7.63539 0.000994344 173.903 0.000999994 179.804 0.000501395 -92.874 0.000448662 -116.658 0.000991384 173.651
180 9.99993 -0.207359 1.12381 83.5474 10 -0 4.69367 62.0068 0.551199 143.768 9.9859 -3.04274 10 -0 1.17435 81.7608 10 -0 10 -0 10 -0 0.000993665 -6.45258 0.000999993 179.793 0.00103835 -8.2392 0.000993665 173.547 0.000999993 179.793 0.000530808 -93.0427 0.000469367 -117.993 0.000990017 173.258
190 9.99993 -0.218879 1.18539 83.1922 10 -0 4.89326 60.7037 0.60817 141.842 9.9843 -3.21143 10 -0 1.24287 81.1385 10 -0 10 -0 10 -0 0.000992949 -6.80778 0.000999993 179.781 0.0010411 -8.86151 0.000992949 173.192 0.000999993 179.781 0.000560207 -93.2114 0.000489326 -119.296 0.000988512 172.864
200 9.99992 -0.230399 1.24683 82.8375 10 -0 5.08544 59.4331 0.66699 139.931 9.9826 -3.38007 10 -0 1.31157 80.4984 10 -0 10 -0 10 -0 0.000992197 -7.16246 0.000999992 179.77 0.00104371 -9.50165 0.000992197 172.838 0.000999992 179.77 0.000589592 -93.3801 0.000508544 -120.567 0.000986864 172.468
210 9.99991 -0.241919 1.30813 82.4834 10 -0 5.27032 58.1949 0.727494 138.036 9.98083 -3.54866 10 -0 1.38036 79.8412 10 -0 10 -0 10 -0 0.000991407 -7.51658 0.000999991 179.758 0.00104615 -10.1588 0.000991407 172.483 0.000999991 179.758 0.000618961 -93.5487 0.000527032 -121.805 0.000985069 172.072
220 9.9999 -0.253438 1.36928 82.1299 10 -0 5.448 56.989 0.789518 136.157 9.97896 -3.71718 10 -0 1.44919 79.1679 10 -0 10 -0 10 -0 0.000990581 -7.87013 0.00099999 179.747 0.00104839 -10.8321 0.000990581 172.13 0.00099999 179.747 0.000648315 -93.7172 0.0005448 -123.011 0.000983123 171.675
230 9.99989 -0.264958 1.43027 81.7769 10 -0 5.61864 55.8152 0.852898 134.295 9.97701 -3.88563 10 -0 1.51798 78.4795 10 -0 10 -0 10 -0 0.000989719 -8.22307 0.000999989 179.735 0.00105041 -11.5205 0.000989719 171.777 0.000999989 179.735 0.000677651 -93.8856 0.000561864 -124.185 0.000981024 171.279
240 9.99988 -0.276478 1.49111 81.4246 10 -0 5.7824 54.6731 0.917468 132.45 9.97498 -4.05402 10 -0 1.58666 77.777 10 -0 10 -0 10 -0 0.000988821 -8.57539 0.000999988 179.724 0.00105218 -12.223 0.000988821 171.425 0.000999988 179.724 0.00070697 -94.054 0.00057824 -125.327 0.00097877 170.884
250 9.99987 -0.287998 1.55177 81.0729 10 -0 5.93946 53.5625 0.983067 130.624 9.97286 -4.22234 10 -0 1.65515 77.0616 10 -0 10 -0 10 -0 0.000987887 -8.92705 0.000999987 179.712 0.0010537 -12.9384 0.000987887 171.073 0.000999987 179.712 0.00073627 -94.2223 0.000593946 -126.437 0.000976359 170.49
260 9.99986 -0.299517 1.61226 80.722 10 -0 6.09 52.4828 1.04954 128.817 9.97065 -4.39059 10 -0 1.72338 76.3344 10 -0 10 -0 10 -0 0.000986918 -9.27804 0.000999986 179.7 0.00105494 -13.6656 0.000986918 170.722 0.000999986 179.7 0.000765552 -94.3906 0.000609 -127.517 0.000973791 170.098
270 9.99985 -0.311037 1.67256 80.3717 10 -0 6.23424 51.4334 1.11672 127.03 9.96836 -4.55876 10 -0 1.79126 75.5967 10 -0 10 -0 10 -0 0.000985913 -9.62833 0.000999985 179.689 0.00105588 -14.4033 0.000985913 170.372 0.000999985 179.689 0.000794814 -94.5588 0.000623424 -128.567 0.000971068 169.708
280 9.99984 -0.322557 1.73268 80.0221 10 -0 6.37239 50.4138 1.18446 125.263 9.96599 -4.72685 10 -0 1.85874 74.8497 10 -0 10 -0 10 -0 0.000984875 -9.97789 0.000999984 179.677 0.00105653 -15.1503 0.000984875 170.022 0.000999984 179.677 0.000824055 -94.7268 0.000637239 -129.586 0.00096819 169.321
290 9.99983 -0.334076 1.79261 79.6733 10 -0 6.50465 49.4233 1.25262 123.518 9.96353 -4.89486 10 -0 1.92572 74.0946 10 -0 10 -0 10 -0 0.000983802 -10.3267 0.000999983 179.666 0.00105686 -15.9054 0.000983802 169.673 0.000999983 179.666 0.000853275 -94.8949 0.000650465 -130.577 0.000965161 168.937
300 9.99982 -0.345596 1.85234 79.3253 10 -0 6.63125 48.4613 1.32104 121.794 9.96099 -5.06278 10 -0 1.99215 73.3325 10 -0 10 -0 10 -0 0.000982695 -10.6747 0.000999982 179.654 0.00105687 -16.6675 0.000982695 169.325 0.000999982 179.654 0.000882473 -95.0628 0.000663125 -131.539 0.000961983 168.557
310 9.99981 -0.357115 1.91186 78.978 10 -0 6.75241 47.5271 1.38961 120.092 9.95836 -5.23062 10 -0 2.05794 72.5649 10 -0 10 -0 10 -0 0.000981554 -11.022 0.000999981 179.643 0.00105655 -17.4351 0.000981554 168.978 0.000999981 179.643 0.000911648 -95.2306 0.000675241 -132.473 0.00095866 168.182
320 9.99979 -0.368635 1.97117 78.6316 10 -0 6.86833 46.62 1.45818 118.413 9.95565 -5.39837 10 -0 2.12304 71.7927 10 -0 10 -0 10 -0 0.00098038 -11.3684 0.000999979 179.631 0.00105591 -18.2073 0.00098038 168.632 0.000999979 179.631 0.0009408 -95.3984 0.000686833 -133.38 0.000955197 167.811
330 9.99978 -0.380154 2.03027 78.286 10 -0 6.97925 45.7393 1.52663 116.756 9.95285 -5.56602 10 -0 2.18738 71.0171 10 -0 10 -0 10 -0 0.000979173 -11.714 0.000999978 179.62 0.00105495 -18.9829 0.000979173 168.286 0.000999978 179.62 0.000969927 -95.566 0.000697925 -134.261 0.000951599 167.446
340 9.99977 -0.391674 2.08914 77.9413 10 -0 7.08535 44.8841 1.59485 115.123 9.94997 -5.73358 10 -0 2.25091 70.2393 10 -0 10 -0 10 -0 0.000977934 -12.0587 0.000999977 179.608 0.00105366 -19.7607 0.000977934 167.941 0.000999977 179.608 0.00099903 -95.7336 0.000708535 -135.116 0.000947873 167.086
350 9.99975 -0.403193 2.14779 77.5974 10 -0 7.18686 44.0539 1.66273 113.514 9.94701 -5.90105 10 -0 2.31357 69.4604 10 -0 10 -0 10 -0 0.000976663 -12.4026 0.000999975 179.597 0.00105205 -20.5396 0.000976663 167.597 0.000999975 179.597 0.00102811 -95.901 0.000718686 -135.946 0.000944024 166.733
360 9.99974 -0.414713 2.20621 77.2545 10 -0 7.28398 43.2478 1.73017 111.929 9.94396 -6.06841 10 -0 2.37531 68.6813 10 -0 10 -0 10 -0 0.00097536 -12.7455 0.000999974 179.585 0.00105012 -21.3187 0.00097536 167.254 0.000999974 179.585 0.00105716 -96.0684 0.000728398 -136.752 0.000940058 166.386
