f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jL0102m jL0102f jV1400m jV1400f jV1600m jV1600f jV0300m jV0300f jV1100m jV1100f 
1 0.5 -0.114592 0.5 5.72958e-08 1 0 0.452046 179.903 0.464368 -179.992 0.506292 -0.0565616 0.5 179.885 0.5 -0.0572959 0.5 -180 0.5 -0.114592 1 -0 0.5 179.943 0.403613 -0.0974872 1 -0 0.452046 179.943 0 0 0.0003 179.943 8.03208e-14 -89.9996 2.88611e-08 -91.5156 0.0003 180 0 0 
1.02353 0.5 -0.117288 0.5 6.14364e-08 1 0 0.452046 179.9 0.464368 -179.992 0.506292 -0.0578926 0.5 179.883 0.5 -0.0586441 0.5 -180 0.5 -0.117288 1 -0 0.5 179.941 0.403613 -0.0997812 1 -0 0.452046 179.942 0 0 0.0003 179.941 8.22108e-14 -89.9996 2.95398e-08 -91.4889 0.0003 180 0 0 
1.04762 0.5 -0.120048 0.5 6.58762e-08 1 0 0.452046 179.898 0.464368 -179.992 0.506292 -0.0592548 0.5 179.88 0.5 -0.0600241 0.5 -180 0.5 -0.120048 1 -0 0.5 179.94 0.403613 -0.102129 1 -0 0.452046 179.941 0 0 0.0003 179.94 8.41453e-14 -89.9996 3.02346e-08 -91.463 0.0003 180 0 0 
1.07227 0.5 -0.122873 0.5 7.06369e-08 1 0 0.452046 179.895 0.464368 -179.992 0.506292 -0.0606492 0.5 179.877 0.5 -0.0614365 0.5 -180 0.5 -0.122873 1 -0 0.5 179.939 0.403613 -0.104532 1 -0 0.452046 179.939 0 0 0.0003 179.939 8.61253e-14 -89.9996 3.09457e-08 -91.4379 0.0003 180 0 0 
1.0975 0.5 -0.125764 0.5 7.57417e-08 1 0 0.452046 179.893 0.464368 -179.991 0.506292 -0.0620763 0.5 179.874 0.5 -0.0628822 0.5 -180 0.5 -0.125764 1 -0 0.5 179.937 0.403613 -0.106992 1 -0 0.452046 179.938 0 0 0.0003 179.937 8.8152e-14 -89.9996 3.16736e-08 -91.4136 0.0003 180 0 0 
1.12332 0.5 -0.128724 0.5 8.12153e-08 1 0 0.452046 179.89 0.464368 -179.991 0.506292 -0.063537 0.5 179.871 0.5 -0.0643618 0.5 -180 0.5 -0.128724 1 -0 0.5 179.936 0.403613 -0.10951 1 -0 0.452046 179.936 0 0 0.0003 179.936 9.02263e-14 -89.9996 3.24186e-08 -91.39 0.0003 180 0 0 
1.14976 0.5 -0.131753 0.5 8.70845e-08 1 0 0.452046 179.888 0.464368 -179.991 0.506292 -0.0650321 0.5 179.868 0.5 -0.0658763 0.5 -180 0.5 -0.131753 1 -0 0.5 179.934 0.403613 -0.112087 1 -0 0.452046 179.935 0 0 0.0003 179.934 9.23494e-14 -89.9995 3.31811e-08 -91.3672 0.0003 180 0 0 
1.17681 0.5 -0.134853 0.5 9.33778e-08 1 0 0.452046 179.885 0.464368 -179.991 0.506292 -0.0665624 0.5 179.865 0.5 -0.0674265 0.5 -180 0.5 -0.134853 1 -0 0.5 179.933 0.403613 -0.114724 1 -0 0.452046 179.933 0 0 0.0003 179.933 9.45224e-14 -89.9995 3.39616e-08 -91.3452 0.0003 180 0 0 
1.2045 0.5 -0.138026 0.5 1.00126e-07 1 0 0.452046 179.883 0.464368 -179.991 0.506292 -0.0681287 0.5 179.862 0.5 -0.0690131 0.5 -180 0.5 -0.138026 1 -0 0.5 179.931 0.403613 -0.117424 1 -0 0.452046 179.932 0 0 0.0003 179.931 9.67467e-14 -89.9995 3.47604e-08 -91.3238 0.0003 180 0 0 
1.23285 0.5 -0.141274 0.5 1.07362e-07 1 0 0.452046 179.88 0.464368 -179.99 0.506292 -0.0697318 0.5 179.859 0.5 -0.070637 0.5 -180 0.5 -0.141274 1 -0 0.5 179.929 0.403613 -0.120187 1 -0 0.452046 179.93 0 0 0.0003 179.929 9.90232e-14 -89.9995 3.55781e-08 -91.3032 0.0003 180 0 0 
