f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0003m jV0003f 
10 1 -0 0.449236 2.4381 0.447898 -1.9858 0.000551502 -1.9858 0.000551502 178.014
120 1 -0 0.564609 20.2824 0.41378 -22.5908 0.000509492 -22.5908 0.000509492 157.409
230 1 -0 0.715201 22.0933 0.350391 -38.5714 0.000431441 -38.5714 0.000431441 141.429
340 1 -0 0.815839 19.4918 0.289911 -49.6931 0.000356971 -49.6931 0.000356971 130.307
450 1 -0 0.875965 16.6304 0.241831 -57.3436 0.000297769 -57.3436 0.000297769 122.656
560 1 -0 0.912396 14.2523 0.2052 -62.7506 0.000252665 -62.7506 0.000252665 117.249
670 1 -0 0.935451 12.3708 0.1772 -66.7098 0.000218188 -66.7098 0.000218188 113.29
780 1 -0 0.950727 10.8831 0.155429 -69.7077 0.000191381 -69.7077 0.000191381 110.292
890 1 -0 0.961277 9.69191 0.138159 -72.0447 0.000170116 -72.0447 0.000170116 107.955
1000 1 -0 0.96883 8.72315 0.124194 -73.9118 0.000152922 -73.9118 0.000152922 106.088
