f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0100m jL0100f jV0400m jV0400f jV0600m jV0600f jV0700m jV0700f jV0800m jV0800f 
100 6.68513e-006 111.551 10.6397 -68.4485 0.0538089 -9.05475 0 0 0.0476281 -169.72 0.1 0 0 0 0 0 6.68512e-006 21.5509 1.35236e-014 0 1.28537e-013 -81.7459 2.7283e-012 23.4258 6.69671e-006 -158.507 
1200 8.6205e-005 91.878 0.952687 -88.1152 0.0498273 -0.936991 0 0 0.0502003 -179.067 0.1 0 0 0 0 0 7.18375e-006 1.87796 1.50275e-013 89.063 1.61337e-012 -89.2433 3.14782e-012 23.3268 7.19618e-006 -178.12 
2300 0.000165292 90.9702 0.497129 -89.0167 0.0498029 -0.489357 0 0 0.050215 -179.513 0.1 0 0 0 0 0 7.18661e-006 0.970157 2.87887e-013 89.5106 3.09307e-012 -89.6051 3.66817e-012 37.9608 7.19902e-006 -179.019 
3400 0.000244366 90.6454 0.336188 -89.3351 0.0497979 -0.33099 0 0 0.050218 -179.671 0.1 0 0 0 0 0 7.18722e-006 0.645404 4.2553e-013 89.669 4.5726e-012 -89.733 4.38427e-012 48.7383 7.19959e-006 -179.337 
4500 0.000323438 90.4762 0.253877 -89.498 0.0497962 -0.249969 0 0 0.0502191 -179.752 0.1 0 0 0 0 0 7.18749e-006 0.476219 5.63181e-013 89.75 6.05208e-012 -89.7984 5.21655e-012 56.3576 7.1998e-006 -179.499 
5600 0.00040251 90.3709 0.203869 -89.5969 0.0497953 -0.200738 0 0 0.0502196 -179.801 0.1 0 0 0 0 0 7.18767e-006 0.370938 7.00836e-013 89.7993 7.53155e-012 -89.8381 6.11783e-012 61.831 7.1999e-006 -179.598 
6700 0.000481585 90.2981 0.170254 -89.6634 0.0497948 -0.167644 0 0 0.0502199 -179.834 0.1 0 0 0 0 0 7.18782e-006 0.298087 8.38492e-013 89.8324 9.011e-012 -89.8648 7.06175e-012 65.8811 7.19995e-006 -179.664 
7800 0.000560662 90.2439 0.146097 -89.7112 0.0497946 -0.143861 0 0 0.0502201 -179.858 0.1 0 0 0 0 0 7.18797e-006 0.243947 9.7615e-013 89.8561 1.04905e-011 -89.884 8.03329e-012 68.9702 7.19999e-006 -179.712 
8900 0.000639743 90.2016 0.127892 -89.7472 0.0497944 -0.125937 0 0 0.0502202 -179.875 0.1 0 0 0 0 0 7.18812e-006 0.201579 1.11381e-012 89.8741 1.19699e-011 -89.8985 9.02355e-012 71.3912 7.20001e-006 -179.748 
10000 0.000718829 90.1671 0.113675 -89.7752 0.0497942 -0.11194 0 0 0.0502202 -179.889 0.1 0 0 0 0 0 7.18829e-006 0.1671 1.25147e-012 89.8881 1.34493e-011 -89.9098 1.0027e-011 73.3338 7.20002e-006 -179.776 
