f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0100m jL0100f jV0400m jV0400f jV0600m jV0600f jV0700m jV0700f jV0800m jV0800f 
100 6.68785e-06 111.489 10.644 -68.5108 0.0481021 -9.02828 0 0 0.0476856 -169.755 0.1 0 0 0 0 0 6.68785e-06 21.4886 1.20894e-14 80.9717 1.39077e-13 -83.1134 2.72337e-12 23.1693 6.69821e-06 -158.563
1200 8.62035e-05 91.872 0.952669 -88.1212 0.0445642 -0.93303 0 0 0.0502442 -179.07 0.1 0 0 0 0 0 7.18362e-06 1.87197 1.34402e-13 89.067 1.73514e-12 -89.3647 3.09958e-12 21.2713 7.19474e-06 -178.126
2300 0.000165289 90.967 0.497119 -89.0198 0.0445426 -0.487281 0 0 0.0502589 -179.515 0.1 0 0 0 0 0 7.18646e-06 0.967029 2.5748e-13 89.5127 3.32642e-12 -89.6685 3.52773e-12 34.9935 7.19755e-06 -179.022
3400 0.000244361 90.6433 0.336181 -89.3372 0.0445382 -0.329582 0 0 0.0502619 -179.672 0.1 0 0 0 0 0 7.18707e-06 0.643288 3.80585e-13 89.6704 4.91754e-12 -89.7758 4.12994e-12 45.6053 7.19813e-06 -179.339
4500 0.000323431 90.4746 0.253872 -89.4996 0.0445366 -0.248903 0 0 0.050263 -179.753 0.1 0 0 0 0 0 7.18734e-06 0.474621 5.03697e-13 89.7511 6.50861e-12 -89.8307 4.84216e-12 53.3871 7.19833e-06 -179.501
5600 0.000402501 90.3697 0.203864 -89.5982 0.0445358 -0.199878 0 0 0.0502635 -179.801 0.1 0 0 0 0 0 7.18752e-06 0.369655 6.26812e-13 89.8001 8.09967e-12 -89.8641 5.62278e-12 59.1188 7.19843e-06 -179.599
6700 0.000481574 90.297 0.17025 -89.6645 0.0445354 -0.166922 0 0 0.0502637 -179.834 0.1 0 0 0 0 0 7.18767e-06 0.297015 7.49929e-13 89.8331 9.69071e-12 -89.8865 6.44702e-12 63.4316 7.19848e-06 -179.665
7800 0.00056065 90.243 0.146094 -89.7121 0.0445352 -0.143238 0 0 0.0502639 -179.858 0.1 0 0 0 0 0 7.18782e-06 0.243027 8.73047e-13 89.8568 1.12818e-11 -89.9026 7.30013e-12 66.7587 7.19852e-06 -179.713
8900 0.00063973 90.2008 0.12789 -89.748 0.044535 -0.125388 0 0 0.050264 -179.876 0.1 0 0 0 0 0 7.18797e-06 0.200774 9.96166e-13 89.8746 1.28728e-11 -89.9148 8.17307e-12 69.3872 7.19854e-06 -179.749
10000 0.000718814 90.1664 0.113672 -89.776 0.0445349 -0.111448 0 0 0.0502641 -179.89 0.1 0 0 0 0 0 7.18813e-06 0.166384 1.11928e-12 89.8886 1.44638e-11 -89.9243 9.06011e-12 71.5083 7.19855e-06 -179.777
